 Projeção da População das Unidades da Federação por sexo, idade simples ou faixa-etária: 2010-2060 (edição 2018)
População residente por Região/Unidade da Federação e Ano
Período:2010-2060
"Região/Unidade da Federação";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025";"2026";"2027";"2028";"2029";"2030";"2031";"2032";"2033";"2034";"2035";"2036";"2037";"2038";"2039";"2040";"2041";"2042";"2043";"2044";"2045";"2046";"2047";"2048";"2049";"2050";"2051";"2052";"2053";"2054";"2055";"2056";"2057";"2058";"2059";"2060"
".. Espírito Santo";3596057;3642595;3689347;3736386;3784361;3832826;3879376;3925341;3972388;4018650;4064052;4108508;4151923;4194227;4235381;4275342;4314082;4351575;4387799;4422761;4456460;4488951;4520294;4550497;4579573;4607514;4634293;4659887;4684303;4707537;4729583;4750444;4770126;4788638;4805975;4822145;4837165;4851048;4863795;4875392;4885838;4895145;4903325;4910373;4916268;4921002;4924594;4927071;4928430;4928667;4927795
".. Rio de Janeiro";16303188;16405508;16510627;16616344;16726184;16841138;16947738;17051465;17159960;17264943;17366189;17463349;17556065;17644073;17727277;17805632;17879062;17947533;18011046;18069615;18123293;18172068;18215864;18254703;18288654;18317762;18342021;18361396;18375931;18385689;18390776;18391358;18387586;18379573;18367369;18351047;18330739;18306527;18278453;18246526;18210736;18171147;18127853;18080837;18030039;17975428;17917092;17855161;17789635;17720514;17647842
".. São Paulo";42298906;42707383;43119841;43528708;43937755;44356304;44760305;45149603;45538936;45919049;46289333;46649132;46997428;47333288;47656295;47966292;48263115;48546516;48816331;49072504;49315046;49544302;49760463;49963489;50153386;50330107;50493492;50643366;50779824;50902899;51012645;51109151;51192586;51263186;51321077;51366301;51398888;51419021;51426883;51422538;51405978;51377266;51336626;51284187;51220015;51144153;51056719;50958014;50848310;50727840;50596822
"Região Sul";27921126;28142851;28367578;28594975;28827960;29067145;29300208;29526869;29754036;29975984;30192315;30402587;30606047;30801938;30989851;31169558;31340864;31503500;31657192;31801852;31937530;32064258;32181973;32290618;32390240;32480966;32562855;32635977;32700549;32756775;32804824;32844829;32877124;32902144;32920090;32931038;32935036;32932296;32923058;32907300;32884903;32855838;32820178;32777956;32729150;32673774;32611921;32543779;32469469;32389068;32302669
".. Paraná";10653276;10738066;10822187;10908262;10997989;11089062;11176203;11261927;11348937;11433957;11516840;11597484;11675661;11751111;11823677;11893264;11959803;12023185;12083297;12140129;12193706;12243938;12290702;12333987;12373836;12410298;12443361;12473021;12499364;12522496;12542478;12559307;12573062;12583881;12591854;12597005;12599318;12598861;12595699;12589797;12581103;12569612;12555362;12538352;12518536;12495904;12470502;12442412;12411670;12378299;12342362
".. Santa Catarina";6353055;6441468;6530943;6620186;6710154;6802306;6894058;6984749;7075494;7164788;7252502;7338473;7422480;7504322;7583889;7661113;7735919;7808220;7877936;7945021;8009480;8071564;8131505;8189289;8244918;8298422;8349850;8399227;8446582;8491935;8535304;8576731;8616285;8654030;8689972;8724096;8756398;8786906;8815651;8842605;8867714;8890942;8912269;8931679;8949178;8964776;8978488;8990348;9000381;9008618;9015090
".. Rio Grande do Sul";10914795;10963317;11014448;11066527;11119817;11175777;11229947;11280193;11329605;11377239;11422973;11466630;11507906;11546505;11582285;11615181;11645142;11672095;11695959;11716702;11734344;11748756;11759766;11767342;11771486;11772246;11769644;11763729;11754603;11742344;11727042;11708791;11687777;11664233;11638264;11609937;11579320;11546529;11511708;11474898;11436086;11395284;11352547;11307925;11261436;11213094;11162931;11111019;11057418;11002151;10945217
"Região Centro-Oeste";14352262;14566885;14781090;14996178;15217293;15442629;15658787;15870886;16085885;16297074;16504303;16707336;16905776;17099314;17287848;17471288;17649516;17822413;17989890;18152002;18308872;18460914;18608448;18751494;18890138;19024419;19154297;19279701;19400606;19516966;19628734;19735893;19838451;19936406;20029661;20118103;20201718;20280551;20354590;20423691;20487716;20546706;20600757;20649834;20693840;20732727;20766569;20795519;20819627;20838906;20853431
".. Mato Grosso do Sul";2494745;2525762;2557442;2589069;2621214;2653928;2685454;2716534;2748023;2778986;2809394;2839188;2868279;2896624;2924238;2951121;2977257;3002639;3027261;3051133;3074275;3096709;3118455;3139518;3159898;3179599;3198627;3216992;3234690;3251697;3268004;3283622;3298572;3312848;3326410;3339241;3351345;3362728;3373384;3383280;3392392;3400723;3408275;3415039;3421004;3426170;3430552;3434177;3437056;3439191;3440594
".. Mato Grosso";3106513;3145830;3185148;3226030;3269448;3314540;3356979;3398791;3441998;3484466;3526220;3567234;3607400;3646630;3684919;3722274;3758643;3793963;3828225;3861489;3893821;3925227;3955688;3985234;4013910;4041732;4068689;4094768;4119984;4144322;4167749;4190263;4211891;4232637;4252454;4271287;4289144;4306064;4322044;4337023;4350948;4363850;4375775;4386699;4396571;4405356;4413076;4419781;4425472;4430140;4433798
